#{"t_start": 1786944323.344372, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
75.0,1857,1240.161433
105.0,1941,1246.039277
40.0,1303,1249.738655
240.0,2531,1257.083933
345.0,3593,1271.879418
135.0,1939,1278.314941
260.0,2875,1291.524233
75.0,1351,1296.265318
260.0,2395,1307.965977
145.0,2051,1316.854192
100.0,1805,1323.445223
105.0,1571,1328.892237
75.0,1133,1332.43284
60.0,989,1335.750512
80.0,1105,1339.821449
320.0,3305,1352.810265
280.0,3149,1364.972401
75.0,1107,1368.992937
500.0,3821,1382.815522
205.0,1975,1389.775553
185.0,2823,1399.824949
90.0,1203,1403.989073
85.0,1065,1407.546791
275.0,2935,1417.736992
170.0,1661,1423.427787
280.0,2895,1434.209993
125.0,2195,1442.266057
190.0,2441,1452.159567
120.0,2041,1461.080751
120.0,1685,1467.598842
420.0,3807,1483.232216
155.0,2407,1492.464326
310.0,2541,1502.036396
250.0,2523,1512.397324
130.0,1755,1519.66463
70.0,1121,1524.082155
215.0,1871,1532.469146
245.0,1935,1542.189621
155.0,1947,1550.123225
275.0,2441,1559.947481
295.0,3117,1573.310927
60.0,1073,1578.236453
70.0,1083,1582.488929
225.0,1681,1589.601102
315.0,2567,1602.250986
365.0,2695,1611.374515
240.0,2899,1620.849206
65.0,1605,1625.748662
605.0,4973,1641.063928
355.0,2713,1650.271764
195.0,2101,1658.101631
120.0,1537,1663.0906
75.0,1067,1666.387206
600.0,3941,1679.582529
320.0,2339,1690.05227
65.0,1625,1695.445298
290.0,2517,1703.140457
150.0,1455,1707.391472
250.0,2587,1715.704204
115.0,1711,1722.555137
235.0,2597,1730.262918
135.0,1233,1733.925645
195.0,2133,1740.949215
280.0,2843,1749.650621
105.0,1683,1754.46645
230.0,2009,1760.832301
260.0,2271,1767.715624
165.0,1857,1772.946463
120.0,1951,1778.720935
575.0,5304,1794.332867
410.0,3424,1804.61586
205.0,2981,1813.734019
515.0,4179,1827.873547
240.0,1919,1833.410648
170.0,2061,1840.465593
115.0,1887,1845.839757
55.0,1161,1849.75235
55.0,1137,1854.428044
310.0,3468,1867.547721
185.0,1893,1873.491446
175.0,2901,1883.479669
275.0,2309,1892.188702
95.0,1421,1896.435766
125.0,1463,1901.281835
120.0,1563,1905.900405
260.0,2735,1914.23102
105.0,1371,1918.820876
145.0,1661,1924.856608
65.0,1427,1929.364321
745.0,3615,1940.315394
210.0,1905,1946.163718
315.0,2886,1955.09686
300.0,3085,1964.781756
170.0,1577,1972.154819
475.0,2999,1981.896751
135.0,1891,1988.233441
180.0,1929,1994.469316
75.0,1293,1998.45233
145.0,1277,2002.190842
120.0,1563,2007.029551
370.0,2739,2018.097951
290.0,3630,2029.149677
155.0,1753,2035.035928
315.0,3475,2047.172732
165.0,2229,2053.910843
165.0,1863,2060.440497
235.0,2031,2066.650785
210.0,2425,2074.590132
70.0,1207,2078.622327
110.0,1451,2083.43219
210.0,2845,2092.828983
200.0,1997,2099.598548
300.0,2783,2109.344072
55.0,1319,2113.260097
190.0,2167,2119.698143
190.0,1685,2124.720085
435.0,3339,2135.490987
225.0,2127,2143.818146
110.0,1557,2149.537697
135.0,2421,2157.592646
120.0,1999,2163.981004
310.0,3265,2173.95415
420.0,3354,2184.036471
230.0,2013,2190.216574
60.0,1227,2194.011325
405.0,2831,2202.418244
270.0,2687,2210.148403
145.0,2265,2216.796011
85.0,1741,2222.430983
75.0,1039,2225.747147
210.0,2823,2233.990199
110.0,1545,2238.777578
200.0,1997,2245.039834
235.0,1665,2250.031841
185.0,1649,2255.00103
130.0,1511,2259.989857
510.0,3907,2272.339436
60.0,1079,2275.511308
360.0,3004,2284.549729
215.0,2645,2292.808406
205.0,2505,2300.263423
315.0,2995,2309.081035
205.0,2355,2317.20542
200.0,2923,2326.645862
305.0,2937,2336.55117
240.0,2489,2347.277388
295.0,2781,2355.838325
335.0,3093,2366.069235
190.0,2023,2373.213413
90.0,1131,2377.265563
530.0,3282,2387.556124
160.0,1909,2393.360364
305.0,2117,2400.091344
260.0,2057,2407.607348
335.0,2711,2417.637901
150.0,1561,2423.815106
570.0,2989,2434.42542
315.0,2903,2444.509345
255.0,2639,2453.640911
230.0,2061,2460.545926
165.0,1983,2467.796384
50.0,1117,2471.484286
125.0,1481,2477.741063
155.0,2089,2486.023471
300.0,2049,2493.768227
155.0,1915,2501.65319
505.0,2903,2511.901493
405.0,3181,2524.263799
200.0,2095,2531.910114
350.0,3303,2543.404176
140.0,1927,2550.619261
210.0,2039,2560.933419
290.0,2495,2570.480157
75.0,1453,2576.365664
20.0,1535,2581.809963
170.0,1909,2588.50062
260.0,2497,2597.962348
270.0,2885,2607.755096
80.0,1467,2613.016127
365.0,2571,2621.961003
185.0,1847,2628.481609
390.0,2509,2637.202721
210.0,2281,2645.316055
225.0,2071,2652.663251
235.0,2575,2661.645042
290.0,2345,2670.2326
325.0,2991,2680.488322
95.0,1527,2685.706547
260.0,2459,2694.230529
65.0,1493,2699.15097
370.0,4036,2717.998905
275.0,2631,2727.851352
155.0,2327,2735.804603
115.0,1911,2742.203026
300.0,3303,2753.771317
155.0,2039,2760.608218
110.0,1309,2766.125813
375.0,3735,2780.109013
190.0,2537,2790.130554
215.0,2289,2798.48585
170.0,1413,2803.600252
150.0,1349,2808.266626
320.0,2461,2817.666372
220.0,2705,2826.496095
130.0,1513,2831.493656
340.0,2573,2840.365222
90.0,1157,2844.40634
220.0,2019,2850.860296
60.0,1049,2854.175741
210.0,2949,2865.135649
265.0,2253,2873.057936
135.0,1609,2878.621838
210.0,2107,2885.38157
105.0,1099,2888.956844
355.0,2443,2897.243839
85.0,999,2900.633825
395.0,2482,2909.806474
195.0,1933,2916.717569
350.0,2975,2926.982906
210.0,2649,2936.982656
115.0,1557,2942.458
135.0,1497,2947.864568
220.0,1611,2953.129626
450.0,2339,2961.883965
180.0,2055,2968.748529
545.0,3099,2981.400986
145.0,1379,2986.542447
275.0,3169,2998.493919
85.0,1423,3003.512426
180.0,2149,3012.339081
80.0,1145,3016.456476
220.0,3021,3028.249357
125.0,1549,3033.433002
125.0,1435,3038.822177
240.0,2997,3049.606643
320.0,2229,3058.242855
30.0,1295,3062.619513
155.0,1947,3069.325437
630.0,2709,3086.204052
95.0,1065,3094.070595
275.0,2519,3103.736695
350.0,2771,3114.860103
275.0,2465,3124.665368
335.0,2871,3136.090199
745.0,6039,3162.359993
125.0,1977,3172.657598
365.0,2881,3182.890838
235.0,2125,3189.022126
335.0,2747,3196.973845
345.0,2737,3206.617451
95.0,1413,3210.573577
200.0,2123,3216.551114
150.0,1463,3221.277588
170.0,2407,3228.098462
570.0,3299,3238.082027
445.0,2417,3247.564136
55.0,1031,3252.758636
525.0,2749,3261.433258
325.0,2865,3269.889969
180.0,1507,3274.045192
130.0,1867,3279.205249
115.0,1433,3283.203229
270.0,2129,3290.112384
305.0,2609,3299.945567
330.0,2615,3308.344412
90.0,1887,3314.514446
135.0,1501,3319.422757
165.0,1529,3324.29603
300.0,3447,3337.774301
380.0,2191,3344.129147
465.0,2655,3352.009312
375.0,3405,3362.325495
140.0,2309,3369.089488
300.0,3627,3380.527864
230.0,2471,3387.580495
260.0,2281,3395.949202
740.0,4843,3410.92478
290.0,2413,3419.04013
85.0,1079,3422.197556
385.0,3297,3431.762759
320.0,3156,3444.342345
690.0,3443,3454.242232
70.0,1031,3457.072471
510.0,2769,3465.198998
295.0,2977,3473.464493
365.0,2613,3481.626501
340.0,2557,3492.479503
135.0,1975,3498.343773
420.0,3379,3508.060342
260.0,2361,3514.740339
145.0,2023,3520.718052
345.0,3585,3531.632979
180.0,2129,3538.002132
390.0,2587,3545.664932
80.0,1051,3548.765424
635.0,3601,3559.660685
160.0,2355,3566.556516
145.0,1185,3569.961093
115.0,1179,3573.287255
115.0,1415,3577.26082
265.0,2547,3584.764402
335.0,3047,3593.628535
120.0,1371,3597.613668
215.0,1795,3602.824538
70.0,1501,3606.950788
200.0,2349,3613.76493
230.0,2353,3620.599868
305.0,3137,3630.423316
320.0,3547,3641.152547
300.0,2896,3653.11916
440.0,3411,3664.477503
120.0,1565,3670.000964
175.0,2161,3677.480832
385.0,3839,3690.722892
365.0,3375,3702.474179
300.0,4121,3717.912968
185.0,2151,3727.734619
370.0,3193,3742.955063
280.0,2737,3755.102362
270.0,2803,3764.41754
160.0,2049,3771.13969
275.0,3169,3789.951761
370.0,2229,3798.215491
315.0,3289,3811.260639
230.0,2703,3822.434024
475.0,3165,3832.491918
285.0,2119,3842.352288
315.0,2691,3852.017126
325.0,2619,3860.15785
275.0,3027,3869.285353
